Region,Household Unique Sequential Number,2010Urban-RuralFIES,Final Weight Based on Projection (provincial projections),Survey Month,Survey Year,Psu Number,Replicate,Household Size,C101-Line Number,C03-Relationship to Household Head,C04-Sex,C05-Age as of Last Birthday,C06-Marital Status,C07-Highest Grade Completed,C08-Currently Attending School,C09-Graduate of technical/vocational course,C09a - Currently Attending Non-formal Training for Skills Development,C10-Overseas Filipino Indicator,C11-Work Indicator,C12-Job Indicator,C14-Primary Occupation,C16-Kind of Business (Primary Occupation),C17-Nature of Employment (Primary Occupation),C18-Normal Working Hours per Day,C19-Total Number of Hours Worked during the past week,C20-Want More Hours of Work,C21-Look for Additional Work,C22-First Time to Work,C23-Class of Worker (Primary Occupation),C24-Basis of Payment (Primary Occupation),C25-Basic Pay per Day (Primary Occupation),C26-Other Job Indicator,C27-Number of Jobs during the past week,C28-Total Hours Worked for all Jobs,C29-Reasons for Working More than 48 Hours during the past week,C30-Looked for Work or Tried to Establish Business during the past week,C31-First Time to Look for Work,C32-Job Search Method,C33-Number of Weeks Spent in Looking for Work,C34-Reason for not Looking for Work,C35-When Last Looked for Work,C36-Available for Work,C37-Willingness to take up work during the past week or within two weeks,C38-Previous Job Indicator,C40-Previous Occupation,C41-Did work or had a job during the past quarter,C43-Kind of Business (past quarter),"New Employment Criteria (jul 05, 2005)",,,,,,
12,38037,2,304.0413,1,19,212,46,6,1,1,1,37,2,10010,,2,2,5,1,,61,1,1,10,50,1,2,2,3,,,2,,50,11,,,,,,,,,,,1,1,1,,,,,,
4,14296,2,2305.2439,1,19,1039,48,8,3,3,1,28,2,10020,,2,2,5,1,,71,41,3,8,32,1,2,2,1,3,400,2,,32,22,,,,,,,,,,,1,41,1,,,,,,
8,27688,2,282.2043,1,19,431,45,3,1,1,1,54,2,10010,,2,2,5,1,,61,1,1,8,41,2,2,2,3,,,1,1,56,11,,,,,,,,,,,1,1,1,,,,,,
16,28632,2,277.4047,1,19,52,48,5,3,3,1,23,1,24020,2,2,2,5,1,,94,56,2,9,45,2,2,2,1,3,100,2,,45,,,,,,,,,,,,1,56,1,,,,,,
2,21665,2,245.2423,1,19,269,46,1,1,1,1,72,3,10020,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,6,,,,1,61,2,,3,,,,,,
14,13411,2,162.0223,1,19,87,15,8,8,6,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,27351,1,1028.8059,1,19,582,47,6,1,1,1,37,2,24020,,1,2,5,1,,13,49,1,8,56,2,2,2,3,,,2,,56,11,,,,,,,,,,,1,49,1,,,,,,
9,38823,2,380.0576,1,19,382,47,6,6,11,2,26,1,60010,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5228,2,670.7908,1,19,900,45,4,3,3,2,8,1,10010,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,14887,1,358.2798,1,19,418,47,7,6,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21552,2,371.8474,1,19,197,46,4,1,1,1,26,2,10020,,2,2,5,1,,92,1,1,6,36,1,2,2,1,3,300,1,1,52,11,,,,,,,,,,,1,1,1,,,,,,
7,9118,1,255.663,1,19,324,4,9,2,2,1,52,2,24020,,2,2,5,1,,91,81,1,8,48,2,2,2,1,3,258,2,,48,,,,,,,,,,,,1,81,1,,,,,,
3,23719,1,1214.4721,1,19,749,47,7,2,2,2,47,2,24020,,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,7,,,,1,91,2,,3,,,,,,
7,20193,2,1165.9862,1,19,1045,48,3,1,1,1,26,2,10010,,2,2,5,1,,13,49,1,8,40,2,2,2,3,,,2,,40,,,,,,,,,,,,2,,1,,,,,,
10,14694,1,209.6068,1,19,3,9,5,5,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10534,1,445.5541,1,19,267,47,7,4,5,1,30,2,40613,,2,2,5,1,,51,96,1,10,60,1,1,2,1,7,,2,,60,11,,,,,,,,,,,1,96,1,,,,,,
16,39121,2,186.2002,1,19,74,8,8,8,6,1,7,1,10010,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,33921,1,96.3582,1,19,227,14,4,4,3,2,12,1,10020,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7063,1,567.1334,1,19,214,47,8,8,3,2,18,1,10020,2,2,2,5,1,,14,47,2,9,63,2,2,1,3,,,2,,63,11,,,,,,,,,,,1,47,1,,,,,,
17,22476,2,619.0389,1,19,229,47,11,7,6,1,15,1,24010,1,2,2,5,2,2,,,,,,,,,,,,,,,,2,,,,8,,,,2,,,,3,,,,,,
2,5685,2,640.437,1,19,49,46,9,1,1,1,56,2,24020,,2,2,5,1,,83,42,1,8,40,2,2,2,1,3,380,2,,40,,,,,,,,,,,,1,42,1,,,,,,
3,23750,2,1387.6339,1,19,1622,48,6,5,3,1,14,1,10020,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,38892,2,358.169,1,19,197,48,5,5,2,1,51,2,24020,,2,2,5,1,,61,1,1,4,20,1,1,2,3,,,1,2,34,20,,,,,,,,,,,1,1,1,,,,,,
12,26934,1,336.2596,1,19,109,45,3,1,1,1,28,2,24020,,2,2,5,1,,83,49,2,12,48,2,2,2,1,4,300,2,,48,,,,,,,,,,,,1,49,1,,,,,,
9,31517,1,498.3644,1,19,238,47,5,3,3,2,5,1,2000,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5101,2,930.8539,1,19,330,45,7,1,1,2,44,2,10010,,2,2,5,1,,61,1,1,6,36,2,2,2,4,,,2,,36,20,,,,,,,,,,,1,1,1,,,,,,
