Survey Year,C04-Sex,C05-Age as of Last Birthday,C11-Work Indicator,C12-Job Indicator,C14-Primary Occupation,C16-Kind of Business (Primary Occupation),C23-Class of Worker (Primary Occupation)
2023,2,11,2,2,,,
2023,2,33,1,1,23,85,2
2023,1,33,1,1,83,49,3
2023,2,59,2,2,,,
2023,2,44,2,2,,,
2023,2,9,2,2,,,
2023,2,49,2,2,,,
2023,2,84,2,2,,,
2023,2,57,2,2,,,
2023,1,39,1,1,42,82,1
2023,1,42,1,1,93,41,1
2023,1,12,1,1,92,1,
2023,1,6,2,2,,,
2023,2,19,2,2,,,
2023,2,13,2,2,,,
2023,2,15,2,2,,,
2023,2,23,2,2,,,
2023,1,10,2,2,,,
2023,1,14,2,2,,,
2023,2,24,1,1,41,46,1
2023,2,34,1,1,12,55,1
2023,1,67,1,1,61,1,3
2023,2,38,1,1,75,14,1
2023,1,26,2,2,,,
2023,1,38,1,1,61,1,3
2023,1,7,2,2,,,
2023,1,20,2,2,,,
2023,1,46,1,1,23,85,2
2023,1,3,2,1,,,
2023,2,9,2,2,,,
2023,2,10,2,2,,,
2023,2,15,2,2,,,
2023,2,45,2,2,,,
2023,1,32,1,1,61,1,3
2023,2,19,2,2,,,
2023,1,45,1,1,96,53,1
2023,1,18,2,2,,,
2023,2,12,2,2,,,
2023,2,2,2,1,,,
2023,1,5,2,2,,,
2023,1,10,2,2,,,
2023,1,41,2,1,,,
2023,2,9,2,2,,,
2023,2,91,2,2,,,
2023,2,4,2,1,,,
2023,1,19,2,2,,,
2023,1,13,2,2,,,
2023,2,65,1,1,91,96,0
2023,2,42,2,2,,,
2023,1,12,2,2,,,
2023,2,16,2,2,,,
2023,2,9,2,2,,,
2023,2,1,2,1,,,
2023,1,16,2,2,,,
2023,2,38,2,1,51,56,1
2023,1,25,1,1,23,85,1
2023,2,45,1,1,14,56,3
2023,1,19,2,2,,,
2023,1,53,2,1,33,68,1
2023,1,5,2,2,,,
2023,2,1,2,1,,,
2023,2,30,2,1,,,
2023,1,51,1,1,83,84,2
2023,1,9,2,2,,,
2023,2,29,1,1,73,32,1
2023,2,15,2,2,,,
2023,2,65,2,2,,,
2023,2,48,1,1,93,10,1
2023,2,58,1,1,14,55,3
2023,1,47,1,1,83,49,1
2023,1,47,1,1,82,26,1
2023,1,12,2,2,,,
2023,2,25,1,1,22,86,4
2023,1,48,1,1,54,80,1
2023,1,45,1,1,12,10,1
2023,1,14,2,2,,,
2023,2,9,2,2,,,
2023,1,73,1,1,92,1,1
2023,1,4,2,1,,,
2023,1,15,2,2,,,
2023,1,14,2,2,,,
2023,1,17,2,2,,,
2023,2,74,2,2,,,
2023,1,5,2,2,,,
2023,2,47,2,2,,,
2023,1,11,2,2,,,
2023,2,6,2,2,,,
2023,1,26,1,1,61,1,3
2023,1,42,1,1,75,10,1
2023,2,51,1,1,61,1,3
2023,2,24,1,1,95,47,3
2023,2,22,2,2,,,
2023,1,53,2,2,,,
2023,1,4,2,1,,,
